ID,Concept,Underlined,Revised Activity Description,,Instructions
244,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
549,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
363,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
409,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
69,Punctuation,,Students add commas after introductory words throughout a text.,,Read the passage. Add commas where needed after the introductory words.
747,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
725,Verbs,Yes,Students rewrite the underlined verb in the future perfect tense.,,"Read the passage. rewrite the underlined words so they are in the future perfect tense. Form the future perfect by using ""will have"" and a special past tense form of the action word. "
543,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
531,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
401,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
455,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
37,Prepositions,Yes,Students choose the correct preposition from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
376,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
388,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
504,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
21,Adverbs,Yes,Students choose the correct adjective or adverb from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
11,Nouns,,Students find and correct plural noun errors within a text. ,,Read the passage and correct the spelling of the plural words.
315,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
379,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
255,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
399,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
101,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
490,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
256,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
392,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
411,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
710,Articles,Yes,Students choose the correct article from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
261,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
464,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
365,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
412,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
39,Capitalization,,Students find and correct capitalization errors within a text.,,Read the passage and correct the capitalization errors you find.
95,Commonly Confused Words,,Students find and correct commonly confused words errors within a text.,,Read the passage and correct the spelling of the commonly confused words.
380,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
377,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
460,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
719,Verbs,Yes,Students choose the correct verb tense from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
609,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
523,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
520,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
547,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
481,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
516,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
548,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
389,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
345,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
522,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
269,Paralle Structure,,Students find and correct parallel structure errors within a text.,,Read the passage and correct the the words that don't match the others in the list. 
366,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
489,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
309,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
43,Pronouns,Yes,Students choose the correct intensive pronoun from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
55,Punctuation,,Students add quotation marks and punctuation to dialogue throughout a text.,,Read the passage. Add quotation marks and punctuation to the dialogue.
505,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
491,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
265,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
402,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
528,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
798,Pronouns,Yes,Students choose the correct demonstrative pronoun from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
529,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
793,Adjectives,Yes,Students rewrite the underlined adjective in its correct comparative or superlative form.,,Read the passage. rewrite the underlined word so it correctly shows a comparison. 
521,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
215,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
541,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
795,Verbs,Yes,Students choose the correct modal verb from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
546,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
93,Commonly Confused Words,,Students find and correct commonly confused words errors within a text.,,Read the passage and correct the spelling of the commonly confused words.
550,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
113,,,Students practice recognizing the difference between you're and your by rewriting sentences with the correct word.,,
